external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_395,K047 - SIEMBRA DE CAÑA,true,K047,SIEMBRA DE CAÑA,1.87,,0,0,0,
Labor_396,K048 - PAQUETE DE SEMILLA,true,K048,PAQUETE DE SEMILLA,1.87,,0,0,0,
Labor_397,K049 - TRANSPORTE DE TUBERIAS,true,K049,TRANSPORTE DE TUBERIAS,1.87,,0,0,0,
Labor_398,K050 - VIGILANCIA DE FINCAS,true,K050,VIGILANCIA DE FINCAS,1.87,,0,0,0,
Labor_399,K051 - LIBERACION DE COTESIAS,true,K051,LIBERACION DE COTESIAS,1.87,,0,0,0,
Labor_400,K052 - EVALUACION DE VARIEDADES,true,K052,EVALUACION DE VARIEDADES,1.87,,0,0,0,
Labor_401,K053 - MUESTREO DE BASURA,true,K053,MUESTREO DE BASURA,1.87,,0,0,0,
Labor_402,K055 - PLUVIOMETROS,true,K055,PLUVIOMETROS,1.87,,0,0,0,
Labor_403,K064 - DESPACHADORES,true,K064,DESPACHADORES,1.87,,0,0,0,
Labor_404,K069 - OTRAS LABORES,true,K069,OTRAS LABORES,1.87,,0,0,0,
Labor_405,K08 - TRANSPORTE DE CACHAZA,true,K08,TRANSPORTE DE CACHAZA,1.87,,0,0,0,
Labor_406,K09 - TRANSPORTE DE CAÑA,true,K09,TRANSPORTE DE CAÑA,1.87,,0,0,0,
Labor_407,K12 - TRANSPORTE DE TIERRA,true,K12,TRANSPORTE DE TIERRA,1.87,,0,0,0,
Labor_408,K13 - ALCE DE CAÑA,true,K13,ALCE DE CAÑA,1.87,,0,0,0,
Labor_409,K15 - ALCE DE BAGAZO,true,K15,ALCE DE BAGAZO,1.87,,0,0,0,
Labor_410,K16 - ALCE DE MATERIALES Y PIEZAS,true,K16,ALCE DE MATERIALES Y PIEZAS,1.87,,0,0,0,
Labor_411,K18 - APLICACION DE CACHAZA,true,K18,APLICACION DE CACHAZA,1.87,,0,0,0,
Labor_412,K20 - APORQUE,true,K20,APORQUE,1.87,,0,0,0,
Labor_413,K21 - ARADURA,true,K21,ARADURA,1.87,,0,0,0,
Labor_414,K22 - AUXILIO DE EQUIPO,true,K22,AUXILIO DE EQUIPO,1.87,,0,0,0,
Labor_415,K23 - ALCE Y DESCARGA DE CAÑA,true,K23,ALCE Y DESCARGA DE CAÑA,1.87,,0,0,0,
Labor_416,K24 - APLICACION DE ABONO,true,K24,APLICACION DE ABONO,1.87,,0,0,0,
Labor_417,K25 - BOTANDO BAGAZO,true,K25,BOTANDO BAGAZO,1.87,,0,0,0,
Labor_418,K26 - CALLES O RONDA,true,K26,CALLES O RONDA,1.87,,0,0,0,
Labor_419,K27 - CAMINOS TRANSITORIOS,true,K27,CAMINOS TRANSITORIOS,1.87,,0,0,0,
